English,Urdu
Do you want coconut milk?,کیا آپ کو ناریل کا دودھ چاہیے؟
I’m drinking milkshake,میں ملکہ شیک پی رہا ہوں
I don’t like milk,مجھے دودھ پسند نہیں ہے
I have an appointment,میرے پاس ملاقات ہے
I like green apples,مجھے سبز سیب پسند ہیں
I’m going to drink blueberry smoothie,میں بلوبیری کا اسموتھی پینے جا رہا ہوں
I’m studying for my exams,میں اپنے امتحانات کی تیاری کر رہا ہوں
Can you get me some water?,کیا آپ مجھے پانی لا سکتے ہیں؟
I like eating mangoes,مجھے آم کھانا پسند ہے
I have big plans for the weekend,میرے پاس ہفتے کے آخر کے لئے بڑے منصوبے ہیں
I’m going to drink fresh juice,میں تازہ رس پینے جا رہا ہوں
I like celebrating my birthday,مجھے اپنا جنم دن منانا پسند ہے
I’m going to drink aloe vera juice,میں ایلو ویرا کا رس پینے جا رہا ہوں
I’m going to eat some vegetables,میں سبزیاں کھانے جا رہا ہوں
Can you teach me how to cook?,کیا آپ مجھے کھانا پکانا سکھا سکتے ہیں؟
I’m going to drink lime juice,میں چونے کا جوس پینے جا رہا ہوں
This is my family,یہ میری فیملی ہے
I’m sorry for the delay,تاخیر کے لیے مجھے افسوس ہے
Can you teach me how to dance?,کیا آپ مجھے ناچنا سکھا سکتے ہیں؟
I need to cook spaghetti,مجھے اسپگیٹی پکانی ہے
Do you like boiled water?,کیا آپ اُبالا ہوا پانی پسند کرتے ہیں؟
I’m just browsing the internet,میں صرف انٹرنیٹ پر براؤز کر رہا ہوں
I’m drinking pineapple juice,میں انناس کا رس پی رہا ہوں
I like to drink lemon water,مجھے لیموں کا پانی پینا پسند ہے
I’m drinking some fresh fruit juice,میں تازہ پھلوں کا جوس پی رہا ہوں
I need to buy some groceries,مجھے کچھ سودا سلف خریدنا ہے
Can I ask for your opinion?,کیا میں آپ سے رائے لے سکتا ہوں؟
Do you want a sandwich?,کیا آپ کو سینڈوچ چاہیے؟
I like fresh carrot juice,مجھے تازہ گاجر کا جوس پسند ہے
I’m going to the store,میں دکان جا رہا ہوں
I’m drinking beetroot juice,میں چقندر کا رس پی رہا ہوں
I’m going to drink vegetable juice,میں سبزیوں کا رس پینے جا رہا ہوں
I like filtered water,مجھے فلٹر شدہ پانی پسند ہے
I hope you feel better soon,مجھے امید ہے کہ آپ جلد بہتر محسوس کریں گے
This restaurant is very popular,یہ ریستوران بہت مشہور ہے
I’m looking for a book,میں ایک کتاب تلاش کر رہا ہوں
I like chai,مجھے چائے پسند ہے
Please don’t worry,براہ کرم فکر نہ کریں
I’m going to buy some bread,میں کچھ روٹی خریدنے جا رہا ہوں
We are friends,ہم دوست ہیں
Do you like to bake?,کیا آپ کو بیکنگ کرنا پسند ہے؟
Do you want green tea?,کیا آپ کو سبز چائے چاہیے؟
I’m drinking vanilla latte,میں وینیلا لٹے پی رہا ہوں
I like reading about history,مجھے تاریخ کے بارے میں پڑھنا پسند ہے
I’m thirsty,مجھے پیاس لگی ہے
Do you wear makeup?,کیا آپ میک اپ کرتی ہیں؟
I don’t like vegetables,مجھے سبزیاں پسند نہیں ہیں
I like your dress,مجھے آپ کا لباس پسند ہے
I like green tea,مجھے سبز چائے پسند ہے
I’m drinking cappuccino,میں کیپوچینو پی رہا ہوں
Everything is fine,سب کچھ ٹھیک ہے
I’m drinking ginger tea,میں ادرک کی چائے پی رہا ہوں
I’m going to drink ginger-lemon tea,میں ادرک لیموں کی چائے پینے جا رہا ہوں
Where do you work?,آپ کہاں کام کرتے ہیں؟
I need some cheese,مجھے پنیر چاہیے
I like to drink black tea,مجھے کالی چائے پینا پسند ہے
How was your day?,آپ کا دن کیسا گزرا؟
I like to drink hot coffee,مجھے گرم کافی پینا پسند ہے
Can you hear me?,کیا آپ مجھے سن سکتے ہیں؟
I have a question,میرے پاس ایک سوال ہے
I’m having some dessert,میں کچھ میٹھا کھا رہا ہوں
I’m drinking some fresh juice,میں تازہ جوس پی رہا ہوں
I’m having a bowl of soup,میں سوپ کا پیالہ کھا رہا ہوں
Do you like coconut water?,کیا آپ کو ناریل کا پانی پسند ہے؟
I will call you when I’m free,جب میں آزاد ہوں گا تو آپ کو کال کروں گا
I’m going to drink fruit punch,میں پھلوں کا پنچ پینے جا رہا ہوں
I’m going to eat some fruit,میں کچھ پھل کھانے جا رہا ہوں
I’m drinking some tonic water,میں ٹانک پانی پی رہا ہوں
I’m drinking cucumber water,میں کھیرے کا پانی پی رہا ہوں
This is very expensive,یہ بہت مہنگا ہے
Do you like pizza?,کیا آپ کو پیزا پسند ہے؟
Can you make fresh lemon juice?,کیا آپ تازہ لیموں کا جوس بنا سکتے ہیں؟
I’m drinking honey and ginger tea,میں شہد اور ادرک کی چائے پی رہا ہوں
I’m going to eat some rice,میں کچھ چاول کھانے جا رہا ہوں
I’m drinking coconut milk,میں ناریل کا دودھ پی رہا ہوں
I like to drink green tea,مجھے سبز چائے پینا پسند ہے
I’m going to the library,میں کتب خانے جا رہا ہوں
Do you want chai latte?,کیا آپ کو چائے لٹے چاہیے؟
Can I help you with anything?,کیا میں آپ کی کسی چیز میں مدد کر سکتا ہوں؟
I’m making a salad,میں سلاد بنا رہا ہوں
I’m so excited for the trip,مجھے سفر کے لئے بہت خوشی ہو رہی ہے
I’m eating strawberries,میں اسٹرابیری کھا رہا ہوں
I’m very proud of you,مجھے تم پر بہت فخر ہے
It’s very cold today,آج بہت سردی ہے
I like to drink mint tea,مجھے پودینہ کی چائے پینا پسند ہے
I’m going to buy some cookies,میں کچھ کوکیز خریدنے جا رہا ہوں
I’m going to a concert,میں ایک کنسرٹ پر جا رہا ہوں
Can you give me directions?,کیا آپ مجھے راستہ بتا سکتے ہیں؟
I’m going to drink banana smoothie,میں کیلے کا اسموتھی پینے جا رہا ہوں
I like bananas,مجھے کیلے پسند ہیں
Do you have change?,کیا آپ کے پاس چھوٹے نوٹ ہیں؟
Do you want detox water?,کیا آپ کو ڈی ٹاکس پانی چاہیے؟
I want to go for a walk,میں سیر کے لئے جانا چاہتا ہوں
We are learning new things,ہم نئی چیزیں سیکھ رہے ہیں
Do you like cheese?,کیا آپ کو پنیر پسند ہے؟
It’s a beautiful day,آج کا دن بہت خوبصورت ہے
Do you want a latte?,کیا آپ کو لیٹے چاہیے؟
Do you want herbal tea?,کیا آپ کو جڑی بوٹیوں کی چائے چاہیے؟
Can you recommend a hotel?,کیا آپ مجھے ہوٹل کی سفارش کر سکتے ہیں؟
I like to drink lemon tea with mint,مجھے پودینہ والی لیموں کی چائے پینا پسند ہے
I don’t like playing games,مجھے کھیلنا پسند نہیں ہے
I’m going to make some tea,میں چائے بنانے جا رہا ہوں
Do you want papaya smoothie?,کیا آپ کو پپیتے کا اسموتھی چاہیے؟
I’m going to drink macchiato,میں میکیاٹو پینے جا رہا ہوں
Do you want mango juice?,کیا آپ کو آم کا رس چاہیے؟
I’m drinking mint water,میں پودینہ کا پانی پی رہا ہوں
It’s too late now,اب بہت دیر ہو چکی ہے
Let’s take a break,چلیں ایک وقفہ لیتے ہیں
Please take a seat,براہ کرم بیٹھ جائیے
What is your name?,آپ کا نام کیا ہے؟
I need to download a file,مجھے ایک فائل ڈاؤن لوڈ کرنی ہے
I love watching movies,مجھے فلمیں دیکھنا بہت پسند ہے
I’m eating some chips,میں کچھ چپس کھا رہا ہوں
I’ll handle it,میں اس کا انتظام کر لوں گا
I’m going to eat some mangoes,میں آم کھانے جا رہا ہوں
I’m cooking some vegetables,میں سبزیاں پکا رہا ہوں
I like to drink pear juice,مجھے ناشپاتی کا رس پینا پسند ہے
I’m going to drink a protein shake,میں پروٹین شیک پینے جا رہا ہوں
I don’t drink coffee,میں کافی نہیں پیتا
We should leave now,ہمیں اب جانا چاہیے
I like Italian food,مجھے اطالوی کھانا پسند ہے
I like seafood,مجھے سمندری کھانا پسند ہے
I am waiting for the bus,میں بس کا انتظار کر رہا ہوں
I’m going to make some tea,میں کچھ چائے بنانے جا رہا ہوں
I love traveling,مجھے سفر کرنا پسند ہے
I’m going to drink some espresso,میں ایسپریسو پینے جا رہا ہوں
I like to drink macchiato,مجھے میکیاٹو پینا پسند ہے
I like to drink lemon tea,مجھے لیموں کی چائے پینا پسند ہے
Do you want oat milk?,کیا آپ کو جو کا دودھ چاہیے؟
I don’t like cooking,مجھے کھانا پکانا پسند نہیں ہے
I like tonic water,مجھے ٹانک پانی پسند ہے
Do you want cold matcha?,کیا آپ کو ٹھنڈی مچا چاہیے؟
Do you want white tea?,کیا آپ کو سفید چائے چاہیے؟
"No, I don’t understand",نہیں، میں نہیں سمجھتا
I need to go to the supermarket,مجھے سپر مارکیٹ جانا ہے
My favorite color is blue,میرا پسندیدہ رنگ نیلا ہے
I’m going to drink iced tea with lemon,میں لیموں کے ساتھ ٹھنڈی چائے پینے جا رہا ہوں
I’m going to drink herbal tea,میں جڑی بوٹیوں کی چائے پینے جا رہا ہوں
This is a gift,یہ ایک تحفہ ہے
I like to drink apple water,مجھے سیب کا پانی پینا پسند ہے
I am 25 years old,میں 25 سال کا ہوں
I like soda water,مجھے سوڈا پانی پسند ہے
I’m going to the kitchen,میں کچن جا رہا ہوں
I need to talk to you,مجھے آپ سے بات کرنی ہے
I’m going to drink ginger water,میں ادرک کا پانی پینے جا رہا ہوں
Do you want beetroot juice?,کیا آپ کو چقندر کا رس چاہیے؟
Do you want to cook together?,کیا آپ ساتھ کھانا پکانا چاہتے ہیں؟
I’m going to drink coconut milk,میں ناریل کا دودھ پینے جا رہا ہوں
I’m going to sleep early,میں جلدی سونے جا رہا ہوں
I’m going to drink honey and ginger tea,میں شہد اور ادرک کی چائے پینے جا رہا ہوں
I need to go to the doctor,مجھے ڈاکٹر کے پاس جانا ہے
I want to try something new,میں کچھ نیا آزمانا چاہتا ہوں
I like to drink fresh juice,مجھے تازہ رس پینا پسند ہے
Do you like pasta?,کیا آپ کو پاستا پسند ہے؟
I think I’ve found it,مجھے لگتا ہے کہ میں نے یہ ڈھونڈ لیا ہے
This is very important,یہ بہت اہم ہے
It’s very close,یہ بہت قریب ہے
I’m going to drink caramel macchiato,میں کیریمل میکیاٹو پینے جا رہا ہوں
I prefer to travel by car,مجھے گاڑی سے سفر کرنا پسند ہے
I’m going to drink some lemon juice,میں لیموں کا جوس پینے جا رہا ہوں
I need to call my friend,مجھے اپنے دوست کو کال کرنی ہے
I need to buy a pen,مجھے ایک پین خریدنا ہے
Do you want flat white?,کیا آپ کو فلیٹ وائٹ چاہیے؟
Can I help you?,کیا میں آپ کی مدد کر سکتا ہوں؟
Can you make a salad?,کیا آپ سلاد بنا سکتے ہیں؟
Can you buy some milk?,کیا آپ دودھ خرید سکتے ہیں؟
I’m going to eat some watermelon,میں کچھ تربوز کھانے جا رہا ہوں
Do you want cold brew coffee?,کیا آپ کو کولڈ برو کافی چاہیے؟
I’m making some noodles,میں نوڈلز بنا رہا ہوں
Can you bring me some cold water?,کیا آپ مجھے ٹھنڈا پانی لا سکتے ہیں؟
Do you want hot water?,کیا آپ کو گرم پانی چاہیے؟
I like hot water,مجھے گرم پانی پسند ہے
I’m feeling sick,مجھے بیماری محسوس ہو رہی ہے
I like your shoes,مجھے آپ کے جوتے پسند ہیں
Do you want some juice?,کیا آپ جوس چاہتے ہیں؟
I’m eating a peach,میں آڑو کھا رہا ہوں
I’m going to cook some pasta,میں پاستا پکانے جا رہا ہوں
Do you want mint tea?,کیا آپ کو پودینہ کی چائے چاہیے؟
Are you coming?,کیا آپ آ رہے ہیں؟
I’m going to drink apple water,میں سیب کا پانی پینے جا رہا ہوں
She is very talented,وہ بہت ہنر مند ہے
I like both,مجھے دونوں پسند ہیں
I like drinking tea,مجھے چائے پینا پسند ہے
I love going to concerts,مجھے کنسرٹ جانا بہت پسند ہے
Do you want ginger tea?,کیا آپ کو ادرک کی چائے چاہیے؟
I’m going to drink lemon tea,میں لیموں کی چائے پینے جا رہا ہوں
I’m going to eat some pineapple,میں کچھ انناس کھانے جا رہا ہوں
I like to drink mango smoothie,مجھے آم کا اسموتھی پینا پسند ہے
I like to drink oat milk,مجھے جو کا دودھ پینا پسند ہے
I’m really tired,میں واقعی تھکا ہوا ہوں
I’m drinking kale smoothie,میں کیل کا اسموتھی پی رہا ہوں
I have a sister,میری ایک بہن ہے
I’m going to drink a milkshake,میں ملکہ شیک پینے جا رہا ہوں
I don’t like pineapple,مجھے انناس پسند نہیں ہے
I’m drinking coffee,میں کافی پی رہا ہوں
I feel so relaxed now,اب میں بہت آرام دہ محسوس کر رہا ہوں
I’m going to drink fruit soda,میں پھلوں کا سوڈا پینے جا رہا ہوں
I like to eat fruits,مجھے پھل کھانا پسند ہیں
I’m drinking aloe vera juice,میں ایلو ویرا کا رس پی رہا ہوں
We should hurry,ہمیں جلدی کرنی چاہیے
I need to buy some soup,مجھے کچھ سوپ خریدنا ہے
I’m drinking espresso,میں ایسپریسو پی رہا ہوں
It’s okay,کوئی بات نہیں
I need to eat something,مجھے کچھ کھانا ہے
Do you want orange juice?,کیا آپ کو سنترے کا رس چاہیے؟
Can you show me the way?,کیا آپ مجھے راستہ دکھا سکتے ہیں؟
I’m drinking vegetable juice,میں سبزیوں کا رس پی رہا ہوں
I’m drinking lemon tea with mint,میں پودینہ والی لیموں کی چائے پی رہا ہوں
Do you want herbal water?,کیا آپ کو جڑی بوٹیوں کا پانی چاہیے؟
I don’t like rainy weather,مجھے بارش والا موسم پسند نہیں ہے
I’m making some iced tea,میں ٹھنڈی چائے بنا رہا ہوں
The supermarket is near my house,سپر مارکیٹ میرے گھر کے قریب ہے
Do you agree?,کیا آپ متفق ہیں؟
I like to drink turmeric tea,مجھے ہلدی کی چائے پینا پسند ہے
Do you want iced tea with lemon?,کیا آپ کو لیموں کے ساتھ ٹھنڈی چائے چاہیے؟
I’ll see you later,میں آپ سے بعد میں ملوں گا
I’ll meet you at the station,میں آپ سے اسٹیشن پر ملوں گا
I’m really sorry for being late,دیر سے آنے پر مجھے واقعی افسوس ہے
He is watching TV,وہ ٹی وی دیکھ رہا ہے
I’m on a diet,میں ڈائیٹ پر ہوں
Can I have the check please?,کیا مجھے بل مل سکتا ہے؟
Can you make some sweet lime juice?,کیا آپ میٹھے چونے کا جوس بنا سکتے ہیں؟
Can you make coconut water?,کیا آپ ناریل کا پانی بنا سکتے ہیں؟
I’m drinking coconut water,میں ناریل کا پانی پی رہا ہوں
My birthday is in December,میرا جنم دن دسمبر میں ہے
We are going on vacation,ہم تعطیلات پر جا رہے ہیں
Do you want some chips?,کیا آپ کو چپس چاہیے؟
I need to buy some rice,مجھے کچھ چاول خریدنے ہیں
Do you like shopping?,کیا آپ کو خریداری پسند ہے؟
I like to drink mango juice,مجھے آم کا رس پینا پسند ہے
I’m drinking tea with honey,میں شہد والی چائے پی رہا ہوں
I’m going to drink soy milk,میں سویا دودھ پینے جا رہا ہوں
I have some free time,میرے پاس تھوڑا وقت ہے
I like to drink papaya smoothie,مجھے پپیتے کا اسموتھی پینا پسند ہے
I’m going to drink cappuccino with milk,میں دودھ کے ساتھ کیپوچینو پینے جا رہا ہوں
I like to eat watermelon,مجھے تربوز کھانا پسند ہے
I’m tired,میں تھکا ہوا ہوں
Can you make fresh carrot juice?,کیا آپ تازہ گاجر کا جوس بنا سکتے ہیں؟
I like to drink almond milk,مجھے بادام کا دودھ پینا پسند ہے
I need some more time,مجھے مزید وقت چاہیے
She is my sister,وہ میری بہن ہے
I’m going to cook dinner,میں رات کا کھانا پکا رہا ہوں
I’ll finish this task soon,میں یہ کام جلد مکمل کر لوں گا
I’m going to visit my grandparents,میں اپنے دادا دادی سے ملنے جا رہا ہوں
I don’t celebrate Christmas,میں کرسمس نہیں مناتا
I’m feeling much better now,اب میں بہت بہتر محسوس کر رہا ہوں
I am studying,میں پڑھائی کر رہا ہوں
I like my coffee with milk,مجھے اپنی کافی دودھ کے ساتھ پسند ہے
I’m going to the ice cream shop,میں آئس کریم کی دکان جا رہا ہوں
Can you bring me some filtered water?,کیا آپ مجھے فلٹر شدہ پانی لا سکتے ہیں؟
Do you like white tea?,کیا آپ سفید چائے پسند کرتے ہیں؟
I’m drinking guava juice,میں آم جوس پی رہا ہوں
I’m drinking coffee with milk,میں دودھ والی کافی پی رہا ہوں
I’m making some fruit juice,میں پھلوں کا جوس بنا رہا ہوں
I’m drinking mint tea,میں پودینہ کی چائے پی رہا ہوں
I’m going to drink papaya smoothie,میں پپیتے کا اسموتھی پینے جا رہا ہوں
Do you want some bread?,کیا آپ کو روٹی چاہیے؟
It’s not enough,یہ کافی نہیں ہے
Do you want lemon tea?,کیا آپ کو لیموں کی چائے چاہیے؟
This is my favorite movie,یہ میری پسندیدہ فلم ہے
I’m going for a walk,میں سیر کے لئے جا رہا ہوں
Do you want black coffee?,کیا آپ کو کالی کافی چاہیے؟
I need to finish this work,مجھے یہ کام مکمل کرنا ہے
I need to drink water,مجھے پانی پینا ہے
I’m making some mango juice,میں آم کا جوس بنا رہا ہوں
I’m sorry for being late,دیر ہونے پر مجھے افسوس ہے
I need to buy some mangoes,مجھے کچھ آم خریدنے ہیں
I’m drinking avocado smoothie,میں ایووکاڈو کا اسموتھی پی رہا ہوں
I’m going to drink green tea with lemon,میں لیموں والی سبز چائے پینے جا رہا ہوں
I’m so happy for you,مجھے تمہارے لئے بہت خوشی ہو رہی ہے
This is very interesting,یہ بہت دلچسپ ہے
What’s your opinion?,آپ کی رائے کیا ہے؟
I like to meditate,مجھے مراقبہ کرنا پسند ہے
Please help me,براہ کرم میری مدد کریں
We are having lunch,ہم دوپہر کا کھانا کھا رہے ہیں
I’m drinking watermelon juice,میں تربوز کا رس پی رہا ہوں
I’m drinking some sparkling water,میں اسپارکلنگ پانی پی رہا ہوں
I’m going to drink rice milk,میں چاول کا دودھ پینے جا رہا ہوں
I’m looking forward to meeting you,میں آپ سے ملنے کا منتظر ہوں
I’m eating some cake,میں کچھ کیک کھا رہا ہوں
I’m going to bed early tonight,میں آج رات جلدی سونے جا رہا ہوں
It’s too cheap,یہ بہت سستا ہے
I’m going to drink chai latte,میں چائے لٹے پینے جا رہا ہوں
Do you want some fresh fruit juice?,کیا آپ تازہ پھلوں کا جوس پینا چاہتے ہیں؟
Do you want fresh juice?,کیا آپ کو تازہ رس چاہیے؟
I will be right back,میں ابھی واپس آتا ہوں
I need to go now,مجھے اب جانا ہے
It’s very noisy here,یہاں بہت شور ہے
Where did you go on vacation?,آپ تعطیلات پر کہاں گئے تھے؟
I feel happy,میں خوش محسوس کر رہا ہوں
Can I give you a ride?,کیا میں آپ کو سواری دے سکتا ہوں؟
Do you know how to cook?,کیا آپ جانتے ہیں کہ کھانا کیسے پکانا ہے؟
I need to buy some groceries,مجھے کچھ سامان خریدنا ہے
I go to bed at 11 PM,میں رات گیارہ بجے سوتا ہوں
I’m cooking some spaghetti,میں اسپگیٹی پکا رہا ہوں
I’m drinking cold chocolate,میں ٹھنڈی چاکلیٹ پی رہا ہوں
I like to drink spinach juice,مجھے اسپینچ کا رس پینا پسند ہے
I’m going to make some white tea,میں سفید چائے بنانے جا رہا ہوں
I like to eat chicken,مجھے چکن کھانا پسند ہے
I need to withdraw some money,مجھے کچھ پیسے نکالنے ہیں
I lost my phone,میرا فون کھو گیا ہے
Do you like to play sports?,کیا آپ کو کھیلنا پسند ہے؟
I like going for a walk,مجھے سیر کے لئے جانا پسند ہے
I’m going to the salon,میں سیلون جا رہا ہوں
Can you help me with this?,کیا آپ میری مدد کر سکتے ہیں؟
I’m going to eat some bread,میں کچھ روٹی کھانے جا رہا ہوں
Do you want fruit soda?,کیا آپ کو پھلوں کا سوڈا چاہیے؟
I’m going to drink coconut water,میں ناریل کا پانی پینے جا رہا ہوں
I’m really hungry,میں واقعی بھوکا ہوں
Let’s go for a walk,چلیں ہم سیر کے لیے چلیں
I’m going to drink honey latte,میں شہد والا لٹے پینے جا رہا ہوں
This is very delicious,یہ بہت مزیدار ہے
I don’t have any plans,میرے پاس کوئی منصوبے نہیں ہیں
It’s almost time,یہ قریب قریب وقت ہے
I have a lot of homework,میرے پاس بہت سا ہوم ورک ہے
Do you like noodles?,کیا آپ کو نوڈلز پسند ہیں؟
I’m eating some beef,میں کچھ گوشت کھا رہا ہوں
Can you speak slowly?,کیا آپ آہستہ بول سکتے ہیں؟
I need to buy some clothes,مجھے کچھ کپڑے خریدنے ہیں
I’m drinking a smoothie,میں اسموتھی پی رہا ہوں
I’m eating some fruit,میں کچھ پھل کھا رہا ہوں
Do you want to join us?,کیا آپ ہمارے ساتھ شامل ہونا چاہتے ہیں؟
I’m drinking mango juice,میں آم کا رس پی رہا ہوں
Do you want ginger water?,کیا آپ کو ادرک کا پانی چاہیے؟
I’m going to make some pasta,میں پاستا بنانے جا رہا ہوں
I’m drinking spinach smoothie,میں اسپینچ کا اسموتھی پی رہا ہوں
I’m going to drink vanilla latte,میں وینیلا لٹے پینے جا رہا ہوں
I like to drink guava juice,مجھے آم جوس پینا پسند ہے
I like to drink milkshakes,مجھے ملکہ شیک پینا پسند ہے
I like chocolate ice cream,مجھے چاکلیٹ آئس کریم پسند ہے
This is a difficult question,یہ ایک مشکل سوال ہے
I’m going to eat some beef,میں کچھ گوشت کھانے جا رہا ہوں
I’m going to drink mixed fruit smoothie,میں مکس پھلوں کا اسموتھی پینے جا رہا ہوں
I’m going to have dinner,میں رات کا کھانا کھانے جا رہا ہوں
I’m going to drink spinach smoothie,میں اسپینچ کا اسموتھی پینے جا رہا ہوں
I’m going to eat some kiwi,میں کچھ کیوی کھانے جا رہا ہوں
You’re welcome,آپ کا خیرمقدم ہے
I’m going to drink cold brew coffee,میں کولڈ برو کافی پینے جا رہا ہوں
I’m going to drink iced mocha,میں آئسڈ موکا پینے جا رہا ہوں
I can’t find my keys,میں اپنی چابیاں نہیں ڈھونڈ پا رہا ہوں
I’m drinking papaya juice,میں پپیتے کا رس پی رہا ہوں
Do you want lemonade?,کیا آپ کو لیموں کا مشروب چاہیے؟
I need some ice,مجھے برف چاہیے
Do you need help?,کیا آپ کو مدد چاہیے؟
He is a doctor,وہ ڈاکٹر ہے
I need to book a flight,مجھے ایک پرواز بک کرنی ہے
I need to buy some beef,مجھے کچھ گوشت خریدنا ہے
I’m adding sugar to my tea,میں اپنی چائے میں چینی ڈال رہا ہوں
Do you want mango smoothie?,کیا آپ کو آم کا اسموتھی چاہیے؟
I’m drinking iced coffee,میں ٹھنڈی کافی پی رہا ہوں
Can I get the Wi-Fi password?,کیا مجھے وائی فائی کا پاس ورڈ مل سکتا ہے؟
